date,product_name,qty,price,total_revenue
2023-01-07,Artemether IV,15,15.0,225.0
2023-01-07,Quinine 500mg,11,8.0,88.0
2023-01-07,Platelet Support,12,25.0,300.0
2023-01-07,Amoxicillin 250mg,17,4.0,68.0
2023-01-07,Chloramphenicol,10,6.0,60.0
2023-01-07,Ciprofloxacin 500mg,35,5.5,192.5
2023-01-07,Aspirin 325mg,1,0.8,0.8
2023-01-07,Vitamin B Complex,1,2.5,2.5
2023-01-08,Oseltamivir 75mg,6,12.0,72.0
2023-01-08,Paracetamol 500mg,50,1.5,75.0
2023-01-08,Vitamin C,29,0.8,23.200000000000003
2023-01-08,Cough Syrup,36,3.0,108.0
2023-01-08,Artemether IV,6,15.0,90.0
2023-01-08,Quinine 500mg,8,8.0,64.0
2023-01-08,Ibuprofen 200mg,27,1.0,27.0
2023-01-08,Platelet Support,8,25.0,200.0
2023-01-08,Amoxicillin 250mg,30,4.0,120.0
2023-01-08,Chloramphenicol,11,6.0,66.0
2023-01-08,Ciprofloxacin 500mg,25,5.5,137.5
2023-01-08,Aspirin 325mg,5,0.8,4.0
2023-01-08,Vitamin B Complex,6,2.5,15.0
2023-01-09,Oseltamivir 75mg,17,12.0,204.0
2023-01-09,Paracetamol 500mg,53,1.5,79.5
2023-01-09,Cough Syrup,34,3.0,102.0
2023-01-09,Ibuprofen 200mg,22,1.0,22.0
2023-01-09,Vitamin C,17,0.8,13.600000000000001
2023-01-09,Artemether IV,9,15.0,135.0
2023-01-09,Quinine 500mg,13,8.0,104.0
2023-01-09,Platelet Support,19,25.0,475.0
2023-01-09,Amoxicillin 250mg,23,4.0,92.0
2023-01-09,Chloramphenicol,11,6.0,66.0
2023-01-09,Ciprofloxacin 500mg,28,5.5,154.0
2023-01-09,Aspirin 325mg,5,0.8,4.0
2023-01-09,Vitamin B Complex,2,2.5,5.0
2023-01-10,Oseltamivir 75mg,20,12.0,240.0
2023-01-10,Paracetamol 500mg,56,1.5,84.0
2023-01-10,Cough Syrup,26,3.0,78.0
2023-01-10,Ibuprofen 200mg,44,1.0,44.0
2023-01-10,Vitamin C,31,0.8,24.8
2023-01-10,Artemether IV,10,15.0,150.0
2023-01-10,Quinine 500mg,13,8.0,104.0
2023-01-10,Platelet Support,19,25.0,475.0
2023-01-10,Amoxicillin 250mg,30,4.0,120.0
2023-01-10,Chloramphenicol,7,6.0,42.0
2023-01-10,Ciprofloxacin 500mg,26,5.5,143.0
2023-01-10,Aspirin 325mg,3,0.8,2.4000000000000004
2023-01-10,Vitamin B Complex,1,2.5,2.5
2023-01-11,Oseltamivir 75mg,18,12.0,216.0
2023-01-11,Paracetamol 500mg,75,1.5,112.5
2023-01-11,Cough Syrup,34,3.0,102.0
2023-01-11,Ibuprofen 200mg,28,1.0,28.0
2023-01-11,Vitamin C,24,0.8,19.200000000000003
2023-01-11,Artemether IV,20,15.0,300.0
2023-01-11,Quinine 500mg,8,8.0,64.0
2023-01-11,Platelet Support,17,25.0,425.0
2023-01-11,Amoxicillin 250mg,30,4.0,120.0
2023-01-11,Chloramphenicol,10,6.0,60.0
2023-01-11,Ciprofloxacin 500mg,27,5.5,148.5
2023-01-11,Aspirin 325mg,2,0.8,1.6
2023-01-11,Vitamin B Complex,3,2.5,7.5
2023-01-12,Oseltamivir 75mg,16,12.0,192.0
2023-01-12,Paracetamol 500mg,70,1.5,105.0
2023-01-12,Cough Syrup,32,3.0,96.0
2023-01-12,Ibuprofen 200mg,24,1.0,24.0
2023-01-12,Vitamin C,19,0.8,15.200000000000001
2023-01-12,Artemether IV,12,15.0,180.0
2023-01-12,Quinine 500mg,7,8.0,56.0
2023-01-12,Platelet Support,13,25.0,325.0
2023-01-12,Amoxicillin 250mg,27,4.0,108.0
2023-01-12,Chloramphenicol,12,6.0,72.0
2023-01-12,Ciprofloxacin 500mg,25,5.5,137.5
2023-01-12,Aspirin 325mg,3,0.8,2.4000000000000004
2023-01-12,Vitamin B Complex,1,2.5,2.5
2023-01-13,Oseltamivir 75mg,33,12.0,396.0
2023-01-13,Paracetamol 500mg,74,1.5,111.0
2023-01-13,Cough Syrup,31,3.0,93.0
2023-01-13,Ibuprofen 200mg,29,1.0,29.0
2023-01-13,Vitamin C,24,0.8,19.200000000000003
2023-01-13,Artemether IV,10,15.0,150.0
2023-01-13,Quinine 500mg,5,8.0,40.0
2023-01-13,Platelet Support,12,25.0,300.0
2023-01-13,Amoxicillin 250mg,26,4.0,104.0
2023-01-13,Chloramphenicol,6,6.0,36.0
2023-01-13,Ciprofloxacin 500mg,27,5.5,148.5
2023-01-13,Aspirin 325mg,5,0.8,4.0
2023-01-13,Vitamin B Complex,5,2.5,12.5
2023-01-14,Oseltamivir 75mg,21,12.0,252.0
2023-01-14,Paracetamol 500mg,64,1.5,96.0
2023-01-14,Cough Syrup,39,3.0,117.0
2023-01-14,Ibuprofen 200mg,48,1.0,48.0
2023-01-14,Vitamin C,34,0.8,27.200000000000003
2023-01-14,Artemether IV,3,15.0,45.0
2023-01-14,Quinine 500mg,12,8.0,96.0
2023-01-14,Platelet Support,21,25.0,525.0
2023-01-14,Amoxicillin 250mg,21,4.0,84.0
2023-01-14,Chloramphenicol,12,6.0,72.0
2023-01-14,Ciprofloxacin 500mg,24,5.5,132.0
2023-01-14,Aspirin 325mg,5,0.8,4.0
2023-01-14,Vitamin B Complex,4,2.5,10.0
2023-01-15,Oseltamivir 75mg,27,12.0,324.0
2023-01-15,Paracetamol 500mg,66,1.5,99.0
2023-01-15,Cough Syrup,54,3.0,162.0
2023-01-15,Ibuprofen 200mg,43,1.0,43.0
2023-01-15,Vitamin C,47,0.8,37.6
2023-01-15,Artemether IV,8,15.0,120.0
2023-01-15,Quinine 500mg,8,8.0,64.0
2023-01-15,Platelet Support,20,25.0,500.0
2023-01-15,Amoxicillin 250mg,24,4.0,96.0
2023-01-15,Chloramphenicol,9,6.0,54.0
2023-01-15,Ciprofloxacin 500mg,21,5.5,115.5
2023-01-15,Aspirin 325mg,2,0.8,1.6
2023-01-15,Vitamin B Complex,5,2.5,12.5
2023-01-16,Oseltamivir 75mg,29,12.0,348.0
2023-01-16,Paracetamol 500mg,80,1.5,120.0
2023-01-16,Cough Syrup,50,3.0,150.0
2023-01-16,Ibuprofen 200mg,31,1.0,31.0
2023-01-16,Vitamin C,37,0.8,29.6
2023-01-16,Artemether IV,13,15.0,195.0
2023-01-16,Quinine 500mg,7,8.0,56.0
2023-01-16,Platelet Support,15,25.0,375.0
2023-01-16,Amoxicillin 250mg,21,4.0,84.0
2023-01-16,Chloramphenicol,13,6.0,78.0
2023-01-16,Ciprofloxacin 500mg,29,5.5,159.5
2023-01-16,Aspirin 325mg,3,0.8,2.4000000000000004
2023-01-16,Vitamin B Complex,2,2.5,5.0
2023-01-17,Oseltamivir 75mg,31,12.0,372.0
2023-01-17,Paracetamol 500mg,73,1.5,109.5
2023-01-17,Cough Syrup,46,3.0,138.0
2023-01-17,Ibuprofen 200mg,30,1.0,30.0
2023-01-17,Vitamin C,41,0.8,32.800000000000004
2023-01-17,Artemether IV,4,15.0,60.0
2023-01-17,Quinine 500mg,6,8.0,48.0
2023-01-17,Platelet Support,17,25.0,425.0
2023-01-17,Amoxicillin 250mg,24,4.0,96.0
2023-01-17,Chloramphenicol,8,6.0,48.0
2023-01-17,Ciprofloxacin 500mg,29,5.5,159.5
2023-01-17,Aspirin 325mg,3,0.8,2.4000000000000004
2023-01-17,Vitamin B Complex,5,2.5,12.5
2023-01-18,Oseltamivir 75mg,29,12.0,348.0
2023-01-18,Paracetamol 500mg,93,1.5,139.5
2023-01-18,Cough Syrup,54,3.0,162.0
2023-01-18,Ibuprofen 200mg,54,1.0,54.0
2023-01-18,Vitamin C,32,0.8,25.6
2023-01-18,Artemether IV,16,15.0,240.0
2023-01-18,Quinine 500mg,7,8.0,56.0
2023-01-18,Platelet Support,19,25.0,475.0
2023-01-18,Amoxicillin 250mg,23,4.0,92.0
2023-01-18,Chloramphenicol,12,6.0,72.0
2023-01-18,Ciprofloxacin 500mg,23,5.5,126.5
2023-01-18,Aspirin 325mg,2,0.8,1.6
2023-01-18,Vitamin B Complex,3,2.5,7.5
2023-01-19,Oseltamivir 75mg,33,12.0,396.0
2023-01-19,Paracetamol 500mg,73,1.5,109.5
2023-01-19,Cough Syrup,48,3.0,144.0
2023-01-19,Ibuprofen 200mg,41,1.0,41.0
2023-01-19,Vitamin C,36,0.8,28.8
2023-01-19,Artemether IV,8,15.0,120.0
2023-01-19,Quinine 500mg,6,8.0,48.0
2023-01-19,Platelet Support,7,25.0,175.0
2023-01-19,Amoxicillin 250mg,33,4.0,132.0
2023-01-19,Chloramphenicol,12,6.0,72.0
2023-01-19,Ciprofloxacin 500mg,24,5.5,132.0
2023-01-19,Aspirin 325mg,3,0.8,2.4000000000000004
2023-01-19,Vitamin B Complex,8,2.5,20.0
2023-01-20,Oseltamivir 75mg,28,12.0,336.0
2023-01-20,Paracetamol 500mg,79,1.5,118.5
2023-01-20,Cough Syrup,33,3.0,99.0
2023-01-20,Ibuprofen 200mg,44,1.0,44.0
2023-01-20,Vitamin C,41,0.8,32.800000000000004
2023-01-20,Artemether IV,8,15.0,120.0
2023-01-20,Quinine 500mg,9,8.0,72.0
2023-01-20,Platelet Support,24,25.0,600.0
2023-01-20,Amoxicillin 250mg,17,4.0,68.0
2023-01-20,Chloramphenicol,6,6.0,36.0
2023-01-20,Ciprofloxacin 500mg,25,5.5,137.5
2023-01-20,Aspirin 325mg,5,0.8,4.0
2023-01-20,Vitamin B Complex,3,2.5,7.5
2023-01-21,Oseltamivir 75mg,33,12.0,396.0
2023-01-21,Paracetamol 500mg,79,1.5,118.5
2023-01-21,Cough Syrup,52,3.0,156.0
2023-01-21,Ibuprofen 200mg,57,1.0,57.0
2023-01-21,Vitamin C,47,0.8,37.6
2023-01-21,Artemether IV,10,15.0,150.0
2023-01-21,Quinine 500mg,13,8.0,104.0
2023-01-21,Platelet Support,16,25.0,400.0
2023-01-21,Amoxicillin 250mg,24,4.0,96.0
2023-01-21,Chloramphenicol,8,6.0,48.0
2023-01-21,Ciprofloxacin 500mg,21,5.5,115.5
2023-01-21,Aspirin 325mg,5,0.8,4.0
2023-01-21,Vitamin B Complex,4,2.5,10.0
2023-01-22,Oseltamivir 75mg,36,12.0,432.0
2023-01-22,Paracetamol 500mg,80,1.5,120.0
2023-01-22,Cough Syrup,55,3.0,165.0
2023-01-22,Ibuprofen 200mg,50,1.0,50.0
2023-01-22,Vitamin C,46,0.8,36.800000000000004
2023-01-22,Artemether IV,9,15.0,135.0
2023-01-22,Quinine 500mg,11,8.0,88.0
2023-01-22,Platelet Support,13,25.0,325.0
2023-01-22,Amoxicillin 250mg,23,4.0,92.0
2023-01-22,Chloramphenicol,6,6.0,36.0
2023-01-22,Ciprofloxacin 500mg,18,5.5,99.0
2023-01-22,Aspirin 325mg,3,0.8,2.4000000000000004
2023-01-22,Vitamin B Complex,1,2.5,2.5
2023-01-23,Oseltamivir 75mg,40,12.0,480.0
2023-01-23,Paracetamol 500mg,71,1.5,106.5
2023-01-23,Cough Syrup,52,3.0,156.0
2023-01-23,Ibuprofen 200mg,41,1.0,41.0
2023-01-23,Vitamin C,45,0.8,36.0
2023-01-23,Artemether IV,10,15.0,150.0
2023-01-23,Quinine 500mg,16,8.0,128.0
2023-01-23,Platelet Support,21,25.0,525.0
2023-01-23,Amoxicillin 250mg,25,4.0,100.0
2023-01-23,Chloramphenicol,14,6.0,84.0
2023-01-23,Ciprofloxacin 500mg,21,5.5,115.5
2023-01-23,Aspirin 325mg,4,0.8,3.2
2023-01-24,Oseltamivir 75mg,34,12.0,408.0
2023-01-24,Paracetamol 500mg,66,1.5,99.0
2023-01-24,Cough Syrup,48,3.0,144.0
2023-01-24,Ibuprofen 200mg,34,1.0,34.0
2023-01-24,Vitamin C,35,0.8,28.0
2023-01-24,Artemether IV,12,15.0,180.0
2023-01-24,Quinine 500mg,14,8.0,112.0
2023-01-24,Platelet Support,20,25.0,500.0
2023-01-24,Amoxicillin 250mg,16,4.0,64.0
2023-01-24,Chloramphenicol,9,6.0,54.0
2023-01-24,Ciprofloxacin 500mg,17,5.5,93.5
2023-01-24,Aspirin 325mg,6,0.8,4.800000000000001
2023-01-25,Oseltamivir 75mg,28,12.0,336.0
2023-01-25,Paracetamol 500mg,81,1.5,121.5
2023-01-25,Cough Syrup,48,3.0,144.0
2023-01-25,Ibuprofen 200mg,45,1.0,45.0
2023-01-25,Vitamin C,40,0.8,32.0
2023-01-25,Artemether IV,14,15.0,210.0
2023-01-25,Quinine 500mg,17,8.0,136.0
2023-01-25,Platelet Support,22,25.0,550.0
2023-01-25,Amoxicillin 250mg,15,4.0,60.0
2023-01-25,Chloramphenicol,11,6.0,66.0
2023-01-25,Ciprofloxacin 500mg,16,5.5,88.0
2023-01-25,Aspirin 325mg,4,0.8,3.2
2023-01-25,Vitamin B Complex,5,2.5,12.5
2023-01-26,Oseltamivir 75mg,35,12.0,420.0
2023-01-26,Paracetamol 500mg,86,1.5,129.0
2023-01-26,Cough Syrup,29,3.0,87.0
2023-01-26,Ibuprofen 200mg,48,1.0,48.0
2023-01-26,Vitamin C,37,0.8,29.6
2023-01-26,Artemether IV,14,15.0,210.0
2023-01-26,Quinine 500mg,18,8.0,144.0
2023-01-26,Platelet Support,9,25.0,225.0
2023-01-26,Amoxicillin 250mg,18,4.0,72.0
2023-01-26,Chloramphenicol,7,6.0,42.0
2023-01-26,Ciprofloxacin 500mg,18,5.5,99.0
2023-01-26,Aspirin 325mg,5,0.8,4.0
2023-01-26,Vitamin B Complex,2,2.5,5.0
2023-01-27,Oseltamivir 75mg,31,12.0,372.0
2023-01-27,Paracetamol 500mg,51,1.5,76.5
2023-01-27,Cough Syrup,42,3.0,126.0
2023-01-27,Ibuprofen 200mg,37,1.0,37.0
2023-01-27,Vitamin C,31,0.8,24.8
2023-01-27,Artemether IV,15,15.0,225.0
2023-01-27,Quinine 500mg,9,8.0,72.0
2023-01-27,Platelet Support,13,25.0,325.0
2023-01-27,Amoxicillin 250mg,14,4.0,56.0
2023-01-27,Chloramphenicol,16,6.0,96.0
2023-01-27,Ciprofloxacin 500mg,13,5.5,71.5
2023-01-27,Aspirin 325mg,4,0.8,3.2
2023-01-27,Vitamin B Complex,1,2.5,2.5
2023-01-28,Oseltamivir 75mg,26,12.0,312.0
2023-01-28,Paracetamol 500mg,69,1.5,103.5
2023-01-28,Cough Syrup,40,3.0,120.0
2023-01-28,Ibuprofen 200mg,41,1.0,41.0
2023-01-28,Vitamin C,37,0.8,29.6
2023-01-28,Artemether IV,16,15.0,240.0
2023-01-28,Quinine 500mg,17,8.0,136.0
2023-01-28,Platelet Support,9,25.0,225.0
2023-01-28,Amoxicillin 250mg,15,4.0,60.0
2023-01-28,Chloramphenicol,15,6.0,90.0
2023-01-28,Ciprofloxacin 500mg,16,5.5,88.0
2023-01-28,Aspirin 325mg,4,0.8,3.2
2023-01-29,Oseltamivir 75mg,24,12.0,288.0
2023-01-29,Paracetamol 500mg,66,1.5,99.0
2023-01-29,Cough Syrup,33,3.0,99.0
2023-01-29,Ibuprofen 200mg,56,1.0,56.0
2023-01-29,Vitamin C,39,0.8,31.200000000000003
2023-01-29,Artemether IV,11,15.0,165.0
2023-01-29,Quinine 500mg,17,8.0,136.0
2023-01-29,Platelet Support,14,25.0,350.0
2023-01-29,Amoxicillin 250mg,12,4.0,48.0
2023-01-29,Chloramphenicol,12,6.0,72.0
2023-01-29,Ciprofloxacin 500mg,14,5.5,77.0
2023-01-29,Aspirin 325mg,2,0.8,1.6
2023-01-29,Vitamin B Complex,1,2.5,2.5
2023-01-30,Oseltamivir 75mg,21,12.0,252.0
2023-01-30,Paracetamol 500mg,80,1.5,120.0
2023-01-30,Cough Syrup,34,3.0,102.0
2023-01-30,Ibuprofen 200mg,52,1.0,52.0
2023-01-30,Vitamin C,42,0.8,33.6
2023-01-30,Artemether IV,14,15.0,210.0
2023-01-30,Quinine 500mg,13,8.0,104.0
2023-01-30,Platelet Support,17,25.0,425.0
2023-01-30,Amoxicillin 250mg,15,4.0,60.0
2023-01-30,Chloramphenicol,17,6.0,102.0
2023-01-30,Ciprofloxacin 500mg,8,5.5,44.0
2023-01-30,Aspirin 325mg,2,0.8,1.6
2023-01-30,Vitamin B Complex,4,2.5,10.0
2023-01-31,Oseltamivir 75mg,27,12.0,324.0
2023-01-31,Paracetamol 500mg,77,1.5,115.5
2023-01-31,Cough Syrup,49,3.0,147.0
2023-01-31,Ibuprofen 200mg,58,1.0,58.0
2023-01-31,Vitamin C,48,0.8,38.400000000000006
2023-01-31,Artemether IV,22,15.0,330.0
2023-01-31,Quinine 500mg,9,8.0,72.0
2023-01-31,Platelet Support,14,25.0,350.0
2023-01-31,Amoxicillin 250mg,10,4.0,40.0
2023-01-31,Chloramphenicol,12,6.0,72.0
2023-01-31,Ciprofloxacin 500mg,12,5.5,66.0
2023-01-31,Aspirin 325mg,4,0.8,3.2
2023-01-31,Vitamin B Complex,4,2.5,10.0
2023-02-01,Oseltamivir 75mg,27,12.0,324.0
2023-02-01,Paracetamol 500mg,88,1.5,132.0
2023-02-01,Cough Syrup,57,3.0,171.0
2023-02-01,Ibuprofen 200mg,51,1.0,51.0
2023-02-01,Vitamin C,45,0.8,36.0
2023-02-01,Artemether IV,13,15.0,195.0
2023-02-01,Quinine 500mg,19,8.0,152.0
2023-02-01,Platelet Support,25,25.0,625.0
2023-02-01,Amoxicillin 250mg,18,4.0,72.0
2023-02-01,Chloramphenicol,14,6.0,84.0
2023-02-01,Ciprofloxacin 500mg,10,5.5,55.0
2023-02-01,Aspirin 325mg,4,0.8,3.2
2023-02-01,Vitamin B Complex,1,2.5,2.5
2023-02-02,Oseltamivir 75mg,25,12.0,300.0
2023-02-02,Paracetamol 500mg,88,1.5,132.0
2023-02-02,Cough Syrup,38,3.0,114.0
2023-02-02,Ibuprofen 200mg,56,1.0,56.0
2023-02-02,Vitamin C,40,0.8,32.0
2023-02-02,Artemether IV,21,15.0,315.0
2023-02-02,Quinine 500mg,19,8.0,152.0
2023-02-02,Platelet Support,15,25.0,375.0
2023-02-02,Amoxicillin 250mg,17,4.0,68.0
2023-02-02,Chloramphenicol,17,6.0,102.0
2023-02-02,Ciprofloxacin 500mg,19,5.5,104.5
2023-02-02,Aspirin 325mg,5,0.8,4.0
2023-02-02,Vitamin B Complex,4,2.5,10.0
2023-02-03,Oseltamivir 75mg,39,12.0,468.0
2023-02-03,Paracetamol 500mg,91,1.5,136.5
2023-02-03,Cough Syrup,33,3.0,99.0
2023-02-03,Ibuprofen 200mg,41,1.0,41.0
2023-02-03,Vitamin C,41,0.8,32.800000000000004
2023-02-03,Artemether IV,13,15.0,195.0
2023-02-03,Quinine 500mg,14,8.0,112.0
2023-02-03,Platelet Support,13,25.0,325.0
2023-02-03,Amoxicillin 250mg,17,4.0,68.0
2023-02-03,Chloramphenicol,19,6.0,114.0
2023-02-03,Ciprofloxacin 500mg,16,5.5,88.0
2023-02-03,Aspirin 325mg,5,0.8,4.0
2023-02-03,Vitamin B Complex,3,2.5,7.5
2023-02-04,Oseltamivir 75mg,35,12.0,420.0
2023-02-04,Paracetamol 500mg,84,1.5,126.0
2023-02-04,Cough Syrup,28,3.0,84.0
2023-02-04,Ibuprofen 200mg,62,1.0,62.0
2023-02-04,Vitamin C,28,0.8,22.400000000000002
2023-02-04,Artemether IV,27,15.0,405.0
2023-02-04,Quinine 500mg,13,8.0,104.0
2023-02-04,Platelet Support,16,25.0,400.0
2023-02-04,Amoxicillin 250mg,17,4.0,68.0
2023-02-04,Chloramphenicol,15,6.0,90.0
2023-02-04,Ciprofloxacin 500mg,13,5.5,71.5
2023-02-04,Aspirin 325mg,4,0.8,3.2
2023-02-04,Vitamin B Complex,5,2.5,12.5
2023-02-05,Oseltamivir 75mg,31,12.0,372.0
2023-02-05,Paracetamol 500mg,76,1.5,114.0
2023-02-05,Cough Syrup,54,3.0,162.0
2023-02-05,Ibuprofen 200mg,63,1.0,63.0
2023-02-05,Vitamin C,42,0.8,33.6
2023-02-05,Artemether IV,20,15.0,300.0
2023-02-05,Quinine 500mg,14,8.0,112.0
2023-02-05,Platelet Support,20,25.0,500.0
2023-02-05,Amoxicillin 250mg,13,4.0,52.0
2023-02-05,Chloramphenicol,15,6.0,90.0
2023-02-05,Ciprofloxacin 500mg,18,5.5,99.0
2023-02-05,Aspirin 325mg,4,0.8,3.2
2023-02-05,Vitamin B Complex,1,2.5,2.5
2023-02-06,Oseltamivir 75mg,35,12.0,420.0
2023-02-06,Paracetamol 500mg,69,1.5,103.5
2023-02-06,Cough Syrup,38,3.0,114.0
2023-02-06,Ibuprofen 200mg,50,1.0,50.0
2023-02-06,Vitamin C,50,0.8,40.0
2023-02-06,Artemether IV,19,15.0,285.0
2023-02-06,Quinine 500mg,13,8.0,104.0
2023-02-06,Platelet Support,16,25.0,400.0
2023-02-06,Amoxicillin 250mg,21,4.0,84.0
2023-02-06,Chloramphenicol,15,6.0,90.0
2023-02-06,Ciprofloxacin 500mg,11,5.5,60.5
2023-02-06,Aspirin 325mg,2,0.8,1.6
2023-02-06,Vitamin B Complex,3,2.5,7.5
2023-02-07,Oseltamivir 75mg,33,12.0,396.0
2023-02-07,Paracetamol 500mg,69,1.5,103.5
2023-02-07,Cough Syrup,45,3.0,135.0
2023-02-07,Ibuprofen 200mg,54,1.0,54.0
2023-02-07,Vitamin C,34,0.8,27.200000000000003
2023-02-07,Artemether IV,18,15.0,270.0
2023-02-07,Quinine 500mg,17,8.0,136.0
2023-02-07,Platelet Support,17,25.0,425.0
2023-02-07,Amoxicillin 250mg,20,4.0,80.0
2023-02-07,Chloramphenicol,24,6.0,144.0
2023-02-07,Ciprofloxacin 500mg,21,5.5,115.5
2023-02-07,Aspirin 325mg,2,0.8,1.6
2023-02-07,Vitamin B Complex,8,2.5,20.0
2023-02-08,Oseltamivir 75mg,42,12.0,504.0
2023-02-08,Paracetamol 500mg,86,1.5,129.0
2023-02-08,Cough Syrup,37,3.0,111.0
2023-02-08,Ibuprofen 200mg,42,1.0,42.0
2023-02-08,Vitamin C,33,0.8,26.400000000000002
2023-02-08,Artemether IV,12,15.0,180.0
2023-02-08,Quinine 500mg,12,8.0,96.0
2023-02-08,Platelet Support,17,25.0,425.0
2023-02-08,Amoxicillin 250mg,24,4.0,96.0
2023-02-08,Chloramphenicol,15,6.0,90.0
2023-02-08,Ciprofloxacin 500mg,23,5.5,126.5
2023-02-08,Aspirin 325mg,2,0.8,1.6
2023-02-08,Vitamin B Complex,1,2.5,2.5
2023-02-09,Oseltamivir 75mg,29,12.0,348.0
2023-02-09,Paracetamol 500mg,82,1.5,123.0
2023-02-09,Cough Syrup,36,3.0,108.0
2023-02-09,Ibuprofen 200mg,49,1.0,49.0
2023-02-09,Vitamin C,41,0.8,32.800000000000004
2023-02-09,Artemether IV,14,15.0,210.0
2023-02-09,Quinine 500mg,18,8.0,144.0
2023-02-09,Platelet Support,19,25.0,475.0
2023-02-09,Amoxicillin 250mg,17,4.0,68.0
2023-02-09,Chloramphenicol,12,6.0,72.0
2023-02-09,Ciprofloxacin 500mg,18,5.5,99.0
2023-02-09,Aspirin 325mg,3,0.8,2.4000000000000004
