date,region,total_cases,flu,covid,malaria,dengue,typhoid,pneumonia,cold
2023-01-13,North,70,7,4,10,0,0,5,10
2023-01-13,South,88,4,3,8,4,5,1,7
2023-01-13,East,64,2,2,3,1,1,11,11
2023-01-13,West,68,10,8,13,0,2,6,1
2023-01-13,Central,73,13,6,4,0,3,3,10
2023-01-14,North,77,10,7,9,1,1,0,3
2023-01-14,South,83,10,3,9,5,1,0,6
2023-01-14,East,85,2,1,5,0,6,4,18
2023-01-14,West,59,7,9,11,0,1,8,0
2023-01-14,Central,70,9,4,4,0,11,0,14
2023-01-15,North,70,8,7,14,0,0,3,8
2023-01-15,South,92,7,9,11,7,0,0,8
2023-01-15,East,60,4,3,6,0,1,12,20
2023-01-15,West,87,5,4,12,0,0,11,2
2023-01-15,Central,77,10,8,2,1,6,0,6
2023-01-16,North,65,5,8,9,0,0,5,10
2023-01-16,South,74,8,5,13,5,3,0,12
2023-01-16,East,85,5,3,0,2,3,5,16
2023-01-16,West,73,6,6,7,0,3,4,1
2023-01-16,Central,90,6,7,2,0,4,0,9
2023-01-17,North,64,7,10,8,1,2,1,11
2023-01-17,South,95,4,5,12,5,5,0,11
2023-01-17,East,75,7,3,9,2,8,4,16
2023-01-17,West,92,6,8,7,0,1,6,0
2023-01-17,Central,78,8,6,10,1,4,0,6
2023-01-18,North,75,4,3,13,0,0,0,5
2023-01-18,South,94,9,8,18,4,2,0,21
2023-01-18,East,79,4,4,4,4,5,5,15
2023-01-18,West,84,16,8,12,0,2,9,2
2023-01-18,Central,95,10,4,12,2,6,0,18
2023-01-19,North,59,6,4,14,0,0,1,11
2023-01-19,South,100,8,6,10,7,4,0,8
2023-01-19,East,78,5,4,5,2,6,13,18
2023-01-19,West,97,5,6,15,0,1,9,2
2023-01-19,Central,111,13,10,11,2,4,2,12
2023-01-20,North,65,1,9,14,5,0,0,17
2023-01-20,South,100,8,9,12,4,1,2,6
2023-01-20,East,91,6,1,5,0,3,8,10
2023-01-20,West,84,16,4,12,4,0,9,2
2023-01-20,Central,84,10,9,17,3,4,0,13
2023-01-21,North,62,6,8,8,4,0,0,11
2023-01-21,South,112,7,5,14,2,4,2,15
2023-01-21,East,95,9,4,1,2,3,2,18
2023-01-21,West,82,8,4,9,4,0,4,2
2023-01-21,Central,94,9,7,9,2,4,4,9
2023-01-22,North,78,6,9,12,2,0,0,6
2023-01-22,South,86,9,10,8,6,4,0,12
2023-01-22,East,83,5,4,8,2,6,4,17
2023-01-22,West,92,9,4,11,0,2,11,2
2023-01-22,Central,112,5,5,7,2,3,3,12
2023-01-23,North,85,6,5,12,3,1,1,9
2023-01-23,South,100,7,8,3,5,3,0,16
2023-01-23,East,77,6,3,9,5,2,3,10
2023-01-23,West,83,9,3,12,1,0,5,2
2023-01-23,Central,90,11,7,6,5,1,4,15
2023-01-24,North,75,7,8,16,3,1,0,6
2023-01-24,South,88,7,6,10,4,7,2,6
2023-01-24,East,81,13,6,7,2,0,4,13
2023-01-24,West,65,10,5,4,0,2,8,5
2023-01-24,Central,94,11,9,7,4,7,1,16
2023-01-25,North,75,12,12,14,2,1,0,15
2023-01-25,South,70,7,10,10,2,9,1,9
2023-01-25,East,72,5,0,7,3,4,8,14
2023-01-25,West,79,6,8,10,0,2,6,1
2023-01-25,Central,91,13,8,13,1,5,1,29
2023-01-26,North,67,11,10,10,3,1,0,12
2023-01-26,South,80,2,12,7,5,7,0,7
2023-01-26,East,80,7,2,5,0,2,2,15
2023-01-26,West,74,6,7,3,0,0,11,3
2023-01-26,Central,90,13,7,9,1,2,0,13
2023-01-27,North,86,15,5,10,4,0,0,7
2023-01-27,South,72,7,3,6,3,6,1,7
2023-01-27,East,90,7,4,9,2,6,4,8
2023-01-27,West,82,11,3,4,0,2,9,6
2023-01-27,Central,109,13,3,9,0,0,2,10
2023-01-28,North,84,8,4,14,3,1,1,13
2023-01-28,South,82,1,2,15,10,4,0,5
2023-01-28,East,85,8,2,8,0,2,3,12
2023-01-28,West,106,12,7,6,0,1,8,6
2023-01-28,Central,106,7,11,7,2,5,4,18
2023-01-29,North,77,15,4,12,3,1,2,14
2023-01-29,South,104,6,4,6,4,3,0,3
2023-01-29,East,82,7,0,5,0,5,2,13
2023-01-29,West,72,8,4,12,0,4,7,4
2023-01-29,Central,99,14,7,11,1,2,1,12
2023-01-30,North,75,9,8,7,2,0,1,12
2023-01-30,South,60,2,5,11,4,4,1,8
2023-01-30,East,81,4,3,13,0,4,4,13
2023-01-30,West,92,8,7,7,0,1,9,9
2023-01-30,Central,104,4,9,4,4,7,0,20
2023-01-31,North,84,9,5,12,6,0,0,15
2023-01-31,South,74,9,3,8,7,3,2,2
2023-01-31,East,74,6,1,12,0,7,1,15
2023-01-31,West,65,9,5,12,0,2,7,9
2023-01-31,Central,99,11,5,8,7,3,0,18
2023-02-01,North,67,12,6,9,1,0,0,5
2023-02-01,South,75,4,4,5,10,2,2,1
2023-02-01,East,95,4,4,7,0,3,5,22
2023-02-01,West,83,5,1,13,1,6,3,7
2023-02-01,Central,92,10,8,8,1,5,1,11
2023-02-02,North,75,12,9,8,5,0,0,5
2023-02-02,South,90,3,4,5,10,8,2,7
2023-02-02,East,74,4,4,11,0,4,5,11
2023-02-02,West,91,8,6,9,1,4,1,7
2023-02-02,Central,108,4,6,11,5,4,2,12
2023-02-03,North,65,10,4,13,3,0,0,9
2023-02-03,South,65,2,4,16,3,3,0,2
2023-02-03,East,75,5,4,3,0,3,5,9
2023-02-03,West,75,6,6,14,0,3,9,9
2023-02-03,Central,92,3,9,11,3,4,0,8
2023-02-04,North,91,9,4,12,2,1,0,14
2023-02-04,South,84,3,7,12,15,5,0,3
2023-02-04,East,91,2,4,10,2,5,4,19
2023-02-04,West,78,10,2,3,0,1,4,8
2023-02-04,Central,75,12,5,14,1,7,0,10
2023-02-05,North,79,10,4,12,1,3,0,19
2023-02-05,South,52,2,4,11,11,3,0,1
2023-02-05,East,91,2,5,6,0,5,5,12
2023-02-05,West,89,9,5,6,0,0,9,6
2023-02-05,Central,88,5,4,15,5,5,0,12
2023-02-06,North,90,12,9,13,4,2,0,24
2023-02-06,South,77,2,3,5,7,4,0,3
2023-02-06,East,90,2,1,1,1,3,7,18
2023-02-06,West,83,17,3,15,0,4,12,5
2023-02-06,Central,76,5,9,14,6,1,0,18
2023-02-07,North,85,13,12,4,2,2,0,10
2023-02-07,South,79,2,5,16,4,4,0,6
2023-02-07,East,82,4,5,3,0,6,6,22
2023-02-07,West,92,15,7,4,0,3,4,6
2023-02-07,Central,86,9,6,9,1,10,0,7
2023-02-08,North,90,7,5,10,4,4,1,24
2023-02-08,South,75,2,6,20,5,3,0,5
2023-02-08,East,100,0,10,2,0,9,7,13
2023-02-08,West,95,4,7,11,0,4,12,5
2023-02-08,Central,93,5,5,10,4,7,0,15
2023-02-09,North,101,11,3,8,2,4,0,20
2023-02-09,South,67,7,8,8,11,1,3,2
2023-02-09,East,64,1,10,2,0,9,8,12
2023-02-09,West,84,9,2,16,1,5,7,10
2023-02-09,Central,76,3,5,7,6,5,0,19
2023-02-10,North,84,5,9,11,2,1,1,10
2023-02-10,South,69,1,3,14,6,6,0,1
2023-02-10,East,77,3,15,4,0,2,6,8
2023-02-10,West,100,13,7,12,0,14,6,7
2023-02-10,Central,79,4,4,12,3,3,0,16
2023-02-11,North,84,11,8,7,5,2,0,11
2023-02-11,South,93,4,4,10,9,1,2,7
2023-02-11,East,59,3,6,0,0,5,8,3
2023-02-11,West,109,11,6,7,2,3,7,10
2023-02-11,Central,92,4,5,15,1,9,3,16
2023-02-12,North,108,15,6,10,2,3,3,8
2023-02-12,South,65,5,4,14,9,4,3,4
2023-02-12,East,97,1,10,0,1,7,8,16
2023-02-12,West,113,6,8,17,3,7,7,7
2023-02-12,Central,74,7,9,10,3,4,0,18
2023-02-13,North,89,6,6,7,3,3,3,12
2023-02-13,South,82,2,3,14,7,1,1,1
2023-02-13,East,67,0,5,3,0,6,10,10
2023-02-13,West,111,9,8,6,5,5,4,7
2023-02-13,Central,96,9,5,7,4,3,0,9
2023-02-14,North,106,7,9,8,5,6,0,13
2023-02-14,South,73,5,8,10,8,5,0,5
2023-02-14,East,71,0,9,2,5,3,8,7
2023-02-14,West,89,12,8,6,1,0,5,9
2023-02-14,Central,96,6,6,6,3,4,1,12
2023-02-15,North,82,11,11,9,8,6,0,18
2023-02-15,South,81,0,4,11,7,3,3,4
2023-02-15,East,73,0,10,0,3,6,5,14
2023-02-15,West,119,10,3,12,7,5,5,9
2023-02-15,Central,92,8,7,7,4,3,1,13
2023-02-16,North,97,7,7,16,4,6,1,16
2023-02-16,South,97,0,6,15,7,4,0,7
2023-02-16,East,74,0,10,0,1,3,5,7
2023-02-16,West,98,6,5,15,4,5,3,6
2023-02-16,Central,110,3,2,10,8,8,0,20
2023-02-17,North,113,4,7,9,3,4,4,15
2023-02-17,South,78,0,9,11,8,5,2,4
2023-02-17,East,71,1,8,0,3,1,4,12
2023-02-17,West,110,5,7,11,4,5,5,5
2023-02-17,Central,99,8,6,9,3,10,1,6
2023-02-18,North,100,8,3,7,3,2,1,17
2023-02-18,South,109,1,5,15,12,3,2,8
2023-02-18,East,81,0,6,0,0,4,10,13
2023-02-18,West,88,7,5,12,6,4,6,8
2023-02-18,Central,79,3,9,5,3,4,1,13
2023-02-19,North,92,6,8,14,11,4,3,17
2023-02-19,South,93,3,9,11,12,5,3,4
2023-02-19,East,93,2,5,5,1,5,7,10
2023-02-19,West,131,6,7,19,7,1,7,4
2023-02-19,Central,106,8,5,8,13,5,3,9
2023-02-20,North,108,8,4,6,10,3,3,8
2023-02-20,South,96,2,5,15,4,5,2,9
2023-02-20,East,73,0,9,1,2,4,9,11
2023-02-20,West,109,5,1,11,3,4,7,10
2023-02-20,Central,121,4,7,5,4,7,4,16
2023-02-21,North,111,10,10,10,8,5,3,9
2023-02-21,South,94,0,4,10,4,5,0,6
2023-02-21,East,71,0,8,0,4,4,9,4
2023-02-21,West,113,7,9,10,9,3,8,5
2023-02-21,Central,110,5,6,1,7,9,6,22
2023-02-22,North,125,12,7,15,8,8,3,10
2023-02-22,South,91,2,5,9,9,7,1,6
2023-02-22,East,62,0,7,0,4,7,6,5
2023-02-22,West,104,11,2,7,6,2,8,5
2023-02-22,Central,122,4,10,8,9,7,5,10
2023-02-23,North,104,16,9,13,7,5,0,10
2023-02-23,South,103,2,6,11,11,6,1,7
2023-02-23,East,63,2,8,0,6,1,8,2
2023-02-23,West,112,12,9,10,6,4,6,2
2023-02-23,Central,90,5,3,9,10,9,6,9
2023-02-24,North,125,7,8,17,5,2,5,22
2023-02-24,South,99,6,3,14,10,10,1,8
2023-02-24,East,55,0,6,0,3,5,10,7
2023-02-24,West,120,5,6,14,5,3,10,6
2023-02-24,Central,107,5,11,10,8,3,6,17
2023-02-25,North,122,13,11,14,2,4,2,16
2023-02-25,South,103,3,4,8,9,6,0,11
2023-02-25,East,57,0,7,0,1,6,6,5
2023-02-25,West,115,10,6,13,9,5,7,4
2023-02-25,Central,107,1,9,10,11,4,4,14
2023-02-26,North,127,7,8,12,4,3,2,12
2023-02-26,South,91,7,5,12,11,7,1,6
2023-02-26,East,81,5,12,0,0,2,11,11
2023-02-26,West,114,8,7,16,3,3,4,11
2023-02-26,Central,122,4,6,7,10,2,9,10
2023-02-27,North,109,8,10,18,7,3,6,7
2023-02-27,South,100,5,4,8,7,6,6,10
2023-02-27,East,83,4,9,0,2,6,4,9
2023-02-27,West,109,6,10,13,6,3,7,7
2023-02-27,Central,106,3,7,6,9,3,8,15
2023-02-28,North,112,9,9,10,7,2,5,12
2023-02-28,South,116,3,3,9,7,5,6,14
2023-02-28,East,63,1,5,0,3,5,4,9
2023-02-28,West,94,7,10,9,9,3,3,3
2023-02-28,Central,109,8,10,9,7,5,8,13
2023-03-01,North,98,15,6,12,4,2,8,10
2023-03-01,South,101,4,4,15,11,1,3,13
2023-03-01,East,74,4,6,1,3,3,4,14
2023-03-01,West,107,3,13,8,8,6,7,5
2023-03-01,Central,117,4,6,6,11,1,2,21
2023-03-02,North,127,14,6,7,4,3,4,10
2023-03-02,South,102,5,13,11,6,5,2,8
2023-03-02,East,69,0,13,0,6,4,5,8
2023-03-02,West,127,9,10,9,12,0,9,7
2023-03-02,Central,116,10,10,5,8,4,7,15
2023-03-03,North,96,10,5,16,4,0,4,9
2023-03-03,South,129,10,6,15,2,0,2,10
2023-03-03,East,85,1,12,0,3,3,6,8
2023-03-03,West,138,7,12,20,10,4,5,12
2023-03-03,Central,120,14,7,5,12,3,6,15
2023-03-04,North,116,8,7,11,7,5,6,15
2023-03-04,South,107,4,9,15,13,3,3,13
2023-03-04,East,93,4,16,0,1,9,7,8
2023-03-04,West,132,8,4,6,8,4,4,6
2023-03-04,Central,135,11,9,14,10,6,9,11
2023-03-05,North,120,11,16,10,3,8,6,12
2023-03-05,South,117,6,9,15,9,5,2,12
2023-03-05,East,74,3,8,0,4,2,8,7
2023-03-05,West,108,10,12,13,5,6,3,4
2023-03-05,Central,117,12,3,8,7,2,6,9
2023-03-06,North,122,9,4,9,2,7,5,15
2023-03-06,South,119,6,8,6,5,2,4,21
2023-03-06,East,104,4,4,0,3,4,3,12
2023-03-06,West,123,5,4,3,6,3,7,5
2023-03-06,Central,134,18,4,15,8,7,5,7
2023-03-07,North,107,10,5,9,7,3,3,16
2023-03-07,South,114,8,8,13,13,2,2,14
2023-03-07,East,84,8,10,1,4,2,6,7
2023-03-07,West,122,8,6,8,6,4,4,7
2023-03-07,Central,127,8,8,9,8,3,5,14
2023-03-08,North,123,5,3,13,7,6,6,10
2023-03-08,South,127,9,7,6,2,1,3,7
2023-03-08,East,86,4,4,0,3,4,7,12
2023-03-08,West,137,14,2,11,10,7,5,6
2023-03-08,Central,110,7,4,8,7,3,6,13
2023-03-09,North,112,12,5,14,7,5,6,13
2023-03-09,South,102,5,7,9,8,0,4,16
2023-03-09,East,92,6,5,0,1,6,5,12
2023-03-09,West,121,11,11,7,5,5,2,7
2023-03-09,Central,123,9,2,7,7,7,6,19
2023-03-10,North,116,13,7,10,6,7,2,12
2023-03-10,South,127,7,10,15,7,6,5,17
2023-03-10,East,96,4,2,0,5,4,6,17
2023-03-10,West,106,4,8,14,6,7,4,8
2023-03-10,Central,109,8,5,12,5,4,3,11
2023-03-11,North,99,8,8,5,5,3,11,7
2023-03-11,South,119,6,2,12,4,4,3,17
2023-03-11,East,86,4,7,0,4,4,4,13
2023-03-11,West,114,10,6,9,5,6,3,6
2023-03-11,Central,115,11,5,9,8,5,5,9
2023-03-12,North,87,7,7,17,3,9,1,17
2023-03-12,South,126,10,11,14,11,5,6,15
2023-03-12,East,84,11,5,0,11,4,6,7
2023-03-12,West,111,14,9,12,9,2,4,7
2023-03-12,Central,124,7,12,11,7,3,4,18
2023-03-13,North,101,8,6,19,2,3,3,12
2023-03-13,South,127,11,6,13,5,5,3,16
2023-03-13,East,99,8,7,0,8,5,5,11
2023-03-13,West,122,10,10,14,8,1,7,9
2023-03-13,Central,118,11,9,13,7,3,4,15
2023-03-14,North,115,8,9,9,7,7,4,15
2023-03-14,South,114,7,6,13,5,1,11,16
2023-03-14,East,112,10,3,0,6,8,11,9
2023-03-14,West,112,8,10,9,2,6,6,10
2023-03-14,Central,107,9,5,10,7,8,2,9
2023-03-15,North,112,9,8,7,7,5,4,15
2023-03-15,South,110,7,8,12,10,3,13,10
2023-03-15,East,108,5,4,2,4,8,8,21
2023-03-15,West,116,9,6,13,13,10,5,8
2023-03-15,Central,107,9,2,19,9,9,9,13
2023-03-16,North,118,12,6,12,4,7,9,13
2023-03-16,South,132,11,8,19,7,1,5,9
2023-03-16,East,94,8,4,2,6,4,3,7
2023-03-16,West,136,13,2,11,5,3,9,5
2023-03-16,Central,122,9,2,16,6,2,5,16
2023-03-17,North,103,10,6,14,0,4,4,16
2023-03-17,South,110,7,6,12,13,2,5,14
2023-03-17,East,101,7,11,3,7,6,7,8
2023-03-17,West,109,10,8,16,7,8,4,10
2023-03-17,Central,114,13,2,12,13,6,6,11
2023-03-18,North,111,10,8,6,3,8,4,17
2023-03-18,South,122,13,5,13,7,2,5,12
2023-03-18,East,109,7,4,4,4,7,6,6
2023-03-18,West,116,2,7,15,6,2,4,10
2023-03-18,Central,119,4,6,17,5,4,5,23
2023-03-19,North,106,1,4,1,4,6,2,16
2023-03-19,South,119,8,6,9,9,3,3,15
2023-03-19,East,114,6,7,2,4,5,7,12
2023-03-19,West,130,4,9,12,2,6,8,4
2023-03-19,Central,110,8,2,10,8,1,8,13
2023-03-20,North,113,5,11,8,4,2,5,19
2023-03-20,South,104,7,5,8,4,7,9,9
2023-03-20,East,92,5,14,5,6,4,6,8
2023-03-20,West,122,10,7,10,9,7,13,11
2023-03-20,Central,96,14,3,12,8,2,4,9
2023-03-21,North,117,5,10,14,5,3,2,17
2023-03-21,South,95,11,1,10,4,3,2,17
2023-03-21,East,116,8,3,2,10,7,5,10
2023-03-21,West,126,7,10,12,6,6,7,10
2023-03-21,Central,117,9,4,14,4,2,11,15
2023-03-22,North,111,6,11,16,2,7,2,19
2023-03-22,South,112,8,5,9,7,3,8,17
2023-03-22,East,100,4,8,0,8,9,8,16
2023-03-22,West,118,6,9,15,6,1,7,11
2023-03-22,Central,106,17,2,14,3,2,4,11
2023-03-23,North,103,8,11,17,4,6,4,14
2023-03-23,South,111,6,5,7,4,2,3,8
2023-03-23,East,109,5,9,0,15,4,9,11
2023-03-23,West,120,8,6,10,4,2,6,4
2023-03-23,Central,108,7,2,8,4,4,7,9
2023-03-24,North,114,9,7,11,2,3,2,17
2023-03-24,South,115,12,3,11,3,1,8,10
2023-03-24,East,89,9,3,2,9,7,2,11
2023-03-24,West,113,8,9,6,6,6,1,10
2023-03-24,Central,104,9,0,18,5,5,11,19
2023-03-25,North,114,4,6,8,2,5,7,6
2023-03-25,South,117,9,4,13,10,4,7,14
2023-03-25,East,94,5,6,3,9,2,4,21
2023-03-25,West,100,5,11,6,6,3,3,12
2023-03-25,Central,116,12,2,15,1,6,3,13
2023-03-26,North,99,8,10,14,0,8,2,16
2023-03-26,South,114,6,5,13,8,9,5,19
2023-03-26,East,100,2,7,5,14,12,2,17
2023-03-26,West,109,10,10,11,9,1,6,8
2023-03-26,Central,110,8,3,11,2,6,6,14
2023-03-27,North,102,8,6,10,2,5,4,16
2023-03-27,South,127,7,4,9,4,5,10,21
2023-03-27,East,111,3,10,5,8,8,3,20
2023-03-27,West,125,8,6,11,4,7,8,5
2023-03-27,Central,96,7,1,10,0,4,8,18
2023-03-28,North,100,9,9,6,3,13,4,18
2023-03-28,South,109,10,4,4,6,2,2,14
2023-03-28,East,112,4,6,10,10,7,2,14
2023-03-28,West,102,13,6,3,6,3,1,12
2023-03-28,Central,107,7,4,12,2,7,7,11
2023-03-29,North,99,6,14,13,4,11,0,18
2023-03-29,South,137,8,9,8,4,5,3,15
2023-03-29,East,107,8,4,7,6,4,3,24
2023-03-29,West,130,12,9,7,5,10,9,11
2023-03-29,Central,90,5,3,10,1,5,7,23
2023-03-30,North,110,11,9,10,3,4,2,11
2023-03-30,South,99,6,8,19,5,8,8,12
2023-03-30,East,99,12,4,5,9,7,5,10
2023-03-30,West,93,6,4,13,6,3,7,8
2023-03-30,Central,117,8,3,11,7,7,9,12
2023-03-31,North,105,6,7,13,4,5,2,12
2023-03-31,South,119,14,9,9,8,7,6,14
2023-03-31,East,102,7,7,9,14,1,6,14
2023-03-31,West,111,10,7,13,4,5,3,8
2023-03-31,Central,117,7,4,14,1,2,11,7
2023-04-01,North,107,18,7,5,2,7,2,7
2023-04-01,South,130,3,6,11,4,6,6,15
2023-04-01,East,92,10,4,9,5,4,5,12
2023-04-01,West,111,5,9,13,4,5,7,11
2023-04-01,Central,117,8,4,12,5,6,7,18
2023-04-02,North,100,10,6,14,0,6,0,14
2023-04-02,South,122,13,8,9,6,3,3,18
2023-04-02,East,91,5,7,9,4,5,2,7
2023-04-02,West,115,5,8,11,2,7,5,8
2023-04-02,Central,121,11,4,11,1,7,7,14
2023-04-03,North,151,7,3,9,5,5,3,10
2023-04-03,South,120,10,4,13,10,1,1,9
2023-04-03,East,77,8,7,7,3,1,6,12
2023-04-03,West,124,6,10,6,5,1,6,16
2023-04-03,Central,111,11,7,6,10,7,9,18
2023-04-04,North,120,11,4,13,5,2,1,17
2023-04-04,South,108,8,9,11,10,2,2,27
2023-04-04,East,89,21,8,7,4,5,2,11
2023-04-04,West,116,9,12,14,6,2,4,10
2023-04-04,Central,122,9,5,8,4,6,5,12
2023-04-05,North,108,5,9,11,1,7,1,9
2023-04-05,South,109,16,8,7,10,3,4,12
2023-04-05,East,84,9,2,1,1,4,1,8
2023-04-05,West,136,8,8,7,11,3,6,16
2023-04-05,Central,103,19,6,15,0,5,4,11
2023-04-06,North,109,14,4,11,6,2,2,8
2023-04-06,South,115,7,2,18,7,2,1,13
2023-04-06,East,76,10,7,2,1,4,5,3
2023-04-06,West,113,10,6,8,11,6,7,15
2023-04-06,Central,112,13,7,14,5,3,6,19
2023-04-07,North,108,14,5,12,6,3,0,13
2023-04-07,South,109,15,10,20,3,5,4,21
2023-04-07,East,93,5,7,5,5,4,2,9
2023-04-07,West,114,16,5,5,13,7,13,11
2023-04-07,Central,128,9,8,16,1,6,10,18
2023-04-08,North,101,6,9,6,8,3,0,15
2023-04-08,South,115,11,5,14,6,7,5,13
2023-04-08,East,85,8,11,4,7,2,4,9
2023-04-08,West,125,12,8,6,9,1,4,17
2023-04-08,Central,139,17,8,8,3,5,6,15
2023-04-09,North,114,9,7,8,4,7,3,14
2023-04-09,South,129,10,7,9,5,5,2,14
2023-04-09,East,77,2,4,0,6,0,6,8
2023-04-09,West,126,13,11,11,11,3,12,10
2023-04-09,Central,145,5,9,17,5,1,7,13
2023-04-10,North,123,9,11,12,6,5,2,15
2023-04-10,South,116,8,4,13,9,1,3,15
2023-04-10,East,101,11,6,2,5,3,6,5
2023-04-10,West,132,7,6,11,10,3,10,21
2023-04-10,Central,106,7,12,17,2,2,6,13
2023-04-11,North,125,12,4,15,8,2,7,14
2023-04-11,South,121,9,3,13,6,1,1,19
2023-04-11,East,91,7,4,4,7,3,3,4
2023-04-11,West,123,8,8,13,10,0,6,18
2023-04-11,Central,109,9,2,12,8,4,7,8
2023-04-12,North,94,6,7,18,4,6,2,7
2023-04-12,South,116,14,9,7,8,4,6,8
2023-04-12,East,86,9,5,6,9,4,4,10
2023-04-12,West,140,7,7,14,10,1,2,17
2023-04-12,Central,115,10,2,10,6,3,5,14
2023-04-13,North,105,10,5,10,11,5,1,15
2023-04-13,South,110,11,5,7,10,2,1,6
2023-04-13,East,78,13,4,5,7,1,2,3
2023-04-13,West,115,5,2,8,8,4,9,15
2023-04-13,Central,116,6,4,5,3,5,2,13
2023-04-14,North,106,9,10,7,9,5,1,9
2023-04-14,South,113,13,9,15,4,1,4,22
2023-04-14,East,78,9,8,8,7,0,0,4
2023-04-14,West,126,8,6,10,8,5,6,24
2023-04-14,Central,102,15,13,14,6,0,6,8
2023-04-15,North,101,14,5,15,3,2,0,12
2023-04-15,South,103,9,6,14,8,3,6,17
2023-04-15,East,66,3,3,8,8,0,1,4
2023-04-15,West,108,9,8,16,12,3,4,14
2023-04-15,Central,102,6,8,14,8,2,6,10
2023-04-16,North,92,10,10,11,2,2,0,12
2023-04-16,South,109,9,9,12,7,7,8,7
2023-04-16,East,62,12,1,1,14,0,0,2
2023-04-16,West,128,11,8,11,13,4,7,13
2023-04-16,Central,103,7,3,11,4,3,3,10
2023-04-17,North,90,7,9,7,7,5,0,16
2023-04-17,South,122,15,10,10,11,0,3,17
2023-04-17,East,56,14,2,4,8,1,0,0
2023-04-17,West,133,11,9,11,8,5,6,17
2023-04-17,Central,119,9,9,11,4,2,8,6
2023-04-18,North,75,9,5,7,5,2,0,14
2023-04-18,South,101,10,3,12,5,2,3,12
2023-04-18,East,66,11,2,6,11,0,3,0
2023-04-18,West,131,8,3,10,10,6,8,17
2023-04-18,Central,116,6,7,5,7,7,8,8
2023-04-19,North,91,9,7,6,5,3,0,15
2023-04-19,South,81,5,7,10,12,3,1,10
2023-04-19,East,55,10,1,4,14,0,3,1
2023-04-19,West,121,8,6,16,10,4,8,16
2023-04-19,Central,108,15,5,9,5,4,9,4
2023-04-20,North,92,5,6,6,4,1,0,12
2023-04-20,South,103,12,7,9,9,0,6,16
2023-04-20,East,66,10,6,1,4,5,1,0
2023-04-20,West,119,11,5,13,7,5,6,13
2023-04-20,Central,108,6,9,18,6,5,13,8
2023-04-21,North,71,4,4,5,4,4,0,12
2023-04-21,South,104,10,5,5,9,1,5,16
